date,total_confirmed,daily_confirmed,七天移動平均新增確診數,total_death,daily_death,七天移動平均新增死亡數,每百萬人確診數,每百萬人死亡數,傳染率,新增檢驗件數,總檢驗件數,每千人檢驗件數,七天移動平均新增檢驗件數,陽性率,每確認案例相對檢驗數量,疫苗總接種劑數,疫苗總接種人數,疫苗新增接種劑數,七天移動平均疫苗新增接種劑數,每百人接種疫苗劑數,每百人接種疫苗人數,疫情控管指數,總人口數,中位數年紀,70歲以上人口比率,平均壽命
2020/10/13,530,1,1.286,7,0,0,22.253,0.294,1.23,271,97429,4.091,311,0.004,241.8,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/10/12,529,2,1.571,7,0,0,22.211,0.294,1.23,305,97158,4.079,296,0.005,188.4,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/10/11,527,0,1.429,7,0,0,22.127,0.294,1.23,123,96853,4.067,303,0.005,212,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/10/10,527,0,1.429,7,0,0,22.127,0.294,1.23,114,96730,4.061,310,0.005,216.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/10/9,527,3,1.429,7,0,0,22.127,0.294,1.25,339,96616,4.057,309,0.005,216.2,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/10/8,524,1,1.286,7,0,0,22.001,0.294,1.26,590,96277,4.042,317,0.004,246.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/10/7,523,2,1.286,7,0,0,21.959,0.294,1.27,432,95687,4.018,254,0.005,197.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/10/6,521,3,1.143,7,0,0,21.875,0.294,1.27,170,95255,3.999,229,0.005,200.3,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/10/5,518,1,0.714,7,0,0,21.749,0.294,1.25,356,95085,3.992,235,0.003,329.1,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/10/4,517,0,1,7,0,0,21.707,0.294,1.23,167,94729,3.977,221,0.005,221,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/10/3,517,0,1,7,0,0,21.707,0.294,1.22,109,94562,3.97,227,0.004,227,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/10/2,517,2,1,7,0,0,21.707,0.294,1.23,392,94453,3.966,250,0.004,250,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/10/1,515,1,0.857,7,0,0,21.623,0.294,1.22,152,94061,3.949,214,0.004,249.7,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/30,514,1,0.714,7,0,0,21.581,0.294,1.22,260,93909,3.943,221,0.003,309.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/29,513,0,0.571,7,0,0,21.539,0.294,1.21,211,93649,3.932,220,0.003,385.3,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/28,513,3,0.571,7,0,0,21.539,0.294,1.21,259,93438,3.923,215,0.003,376.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/27,510,0,0.429,7,0,0,21.413,0.294,1.18,204,93179,3.912,218,0.002,508.2,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/26,510,0,0.571,7,0,0,21.413,0.294,1.16,275,92975,3.904,203,0.003,355.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/25,510,1,1,7,0,0,21.413,0.294,1.15,137,92700,3.892,178,0.006,178,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/24,509,0,0.857,7,0,0,21.371,0.294,1.14,198,92563,3.886,208,0.004,242.7,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/23,509,0,1.286,7,0,0,21.371,0.294,1.15,257,92365,3.878,277,0.005,215.4,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/22,509,0,1.429,7,0,0,21.371,0.294,1.16,175,92108,3.867,281,0.005,196.6,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/21,509,2,1.429,7,0,0,21.371,0.294,1.18,283,91933,3.86,278,0.005,194.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/20,507,1,1.286,7,0,0,21.288,0.294,1.21,98,91650,3.848,260,0.005,202.2,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/19,506,3,1.143,7,0,0,21.246,0.294,1.23,95,91552,3.844,276,0.004,241.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/18,503,0,0.714,7,0,0,21.12,0.294,1.23,351,91457,3.84,280,0.003,392.2,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/17,503,3,1,7,0,0,21.12,0.294,1.24,680,91106,3.825,257,0.004,257,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/16,500,1,0.714,7,0,0,20.994,0.294,1.22,282,90426,3.797,192,0.004,268.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/15,499,0,0.571,7,0,0,20.952,0.294,1.2,160,90144,3.785,174,0.003,304.7,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/14,499,1,0.714,7,0,0,20.952,0.294,1.18,154,89984,3.778,177,0.004,247.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/13,498,0,0.714,7,0,0,20.91,0.294,1.17,210,89830,3.772,182,0.004,254.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/12,498,0,0.857,7,0,0,20.91,0.294,1.16,126,89620,3.763,177,0.005,206.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/11,498,2,1.143,7,0,0,20.91,0.294,1.17,186,89494,3.758,175,0.007,153.1,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/10,496,1,1,7,0,0,20.826,0.294,1.16,224,89308,3.75,183,0.005,183,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/9,495,0,0.857,7,0,0,20.784,0.294,1.15,155,89084,3.74,184,0.005,214.7,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/8,495,1,1,7,0,0,20.784,0.294,1.15,187,88929,3.734,184,0.005,184,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/7,494,1,0.857,7,0,0,20.742,0.294,1.15,188,88742,3.726,178,0.005,207.7,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/6,493,1,0.714,7,0,0,20.7,0.294,1.15,173,88554,3.718,181,0.004,253.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/5,492,2,0.571,7,0,0,20.658,0.294,1.14,112,88381,3.711,179,0.003,313.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/4,490,1,0.429,7,0,0,20.574,0.294,1.13,242,88269,3.706,184,0.002,428.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/3,489,0,0.286,7,0,0,20.532,0.294,1.1,232,88027,3.696,175,0.002,611.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/2,489,1,0.286,7,0,0,20.532,0.294,1.07,152,87795,3.686,171,0.002,597.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/9/1,488,0,0.143,7,0,0,20.49,0.294,1.02,144,87643,3.68,175,0.001,1223.8,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/31,488,0,0.143,7,0,0,20.49,0.294,0.98,215,87499,3.674,177,0.001,1237.8,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/30,488,0,0.143,7,0,0,20.49,0.294,0.95,157,87284,3.665,181,0.001,1265.7,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/29,488,1,0.143,7,0,0,20.49,0.294,0.92,148,87127,3.658,175,0.001,1223.8,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/28,487,0,0,7,0,0,20.448,0.294,0.87,177,86979,3.652,172,0,0,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/27,487,0,0.143,7,0,0,20.448,0.294,0.83,204,86802,3.645,178,0.001,1244.8,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/26,487,0,0.143,7,0,0,20.448,0.294,0.79,182,86598,3.636,179,0.001,1251.7,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/25,487,0,0.143,7,0,0,20.448,0.294,0.77,155,86416,3.628,185,0.001,1293.7,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/24,487,0,0.286,7,0,0,20.448,0.294,0.75,242,86261,3.622,186,0.002,650.3,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/23,487,0,0.429,7,0,0,20.448,0.294,0.74,117,86019,3.612,189,0.002,440.6,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/22,487,0,0.714,7,0,0,20.448,0.294,0.73,128,85902,3.607,190,0.004,266.1,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/21,487,1,0.857,7,0,0,20.448,0.294,0.74,217,85774,3.601,191,0.004,222.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/20,486,0,0.714,7,0,0,20.406,0.294,0.74,214,85557,3.592,188,0.004,263.3,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/19,486,0,0.714,7,0,0,20.406,0.294,0.74,222,85343,3.583,190,0.004,266.1,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/18,486,1,0.857,7,0,0,20.406,0.294,0.75,165,85121,3.574,186,0.005,217,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/17,485,1,1.143,7,0,0,20.364,0.294,0.77,260,84956,3.567,183,0.006,160.1,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/16,484,2,1,7,0,0,20.322,0.294,0.78,124,84696,3.556,181,0.006,181,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/15,482,1,0.429,7,0,0,20.238,0.294,0.77,133,84572,3.551,184,0.002,428.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/14,481,0,0.571,7,0,0,20.196,0.294,0.76,198,84439,3.545,189,0.003,331,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/13,481,0,0.571,7,0,0,20.196,0.294,0.76,229,84241,3.537,185,0.003,324,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/12,481,1,0.714,7,0,0,20.196,0.294,0.76,190,84012,3.527,182,0.004,254.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/11,480,3,0.571,7,0,0,20.154,0.294,0.77,147,83822,3.519,186,0.003,325.7,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/10,477,0,0.429,7,0,0,20.028,0.294,0.75,247,83675,3.513,192,0.002,447.6,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/9,477,-2,0.286,7,0,0,20.028,0.294,0.73,142,83428,3.503,196,0.001,685.3,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/8,479,2,0.714,7,0,0,20.112,0.294,0.71,173,83286,3.497,194,0.004,271.7,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/7,477,0,1.429,7,0,0,20.028,0.294,0.69,164,83113,3.49,184,0.008,128.8,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/6,477,1,1.429,7,0,0,20.028,0.294,0.67,214,82949,3.483,195,0.007,136.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/5,476,0,1.286,7,0,0,19.986,0.294,0.65,212,82735,3.474,193,0.007,150.1,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/4,476,2,1.286,7,0,0,19.986,0.294,0.63,192,82523,3.465,194,0.007,150.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/3,474,-1,1.714,7,0,0,19.902,0.294,0.62,273,82331,3.457,215,0.008,125.4,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/2,475,1,2.429,7,0,0,19.944,0.294,0.6,132,82058,3.445,205,0.012,84.4,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/8/1,474,7,2.286,7,0,0,19.902,0.294,0.58,104,81926,3.44,204,0.011,89.2,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/31,467,0,1.286,7,0,0,19.608,0.294,0.57,235,81822,3.435,203,0.006,157.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/30,467,0,1.714,7,0,0,19.608,0.294,0.56,203,81587,3.426,188,0.009,109.7,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/29,467,0,1.714,7,0,0,19.608,0.294,0.55,220,81384,3.417,183,0.009,106.8,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/28,467,5,2.286,7,0,0,19.608,0.294,0.55,341,81164,3.408,173,0.013,75.7,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/27,462,4,1.571,7,0,0,19.398,0.294,0.51,201,80823,3.394,145,0.011,92.3,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/26,458,0,1,7,0,0,19.23,0.294,0.47,123,80622,3.385,139,0.007,139,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/25,458,0,1,7,0,0,19.23,0.294,0.44,95,80499,3.38,141,0.007,141,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/24,458,3,1,7,0,0,19.23,0.294,0.41,135,80404,3.376,143,0.007,143,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/23,455,0,0.571,7,0,0,19.104,0.294,0.38,163,80269,3.37,145,0.004,253.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/22,455,4,0.571,7,0,0,19.104,0.294,0.36,156,80106,3.363,149,0.004,260.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/21,451,0,0,7,0,0,18.936,0.294,0.33,143,79950,3.357,150,0,0,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/20,451,0,0,7,0,0,18.936,0.294,0.32,161,79807,3.351,152,0,0,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/19,451,0,0,7,0,0,18.936,0.294,0.3,135,79646,3.344,147,0,0,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/18,451,0,0,7,0,0,18.936,0.294,0.28,111,79511,3.338,145,0,0,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/17,451,0,0.286,7,0,0,18.936,0.294,0.27,145,79400,3.334,146,0.002,510.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/16,451,0,0.286,7,0,0,18.936,0.294,0.26,191,79255,3.328,149,0.002,521,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/15,451,0,0.286,7,0,0,18.936,0.294,0.26,164,79064,3.32,149,0.002,521,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/14,451,0,0.286,7,0,0,18.936,0.294,0.25,155,78900,3.313,146,0.002,510.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/13,451,0,0.286,7,0,0,18.936,0.294,0.25,126,78745,3.306,143,0.002,500,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/12,451,0,0.286,7,0,0,18.936,0.294,0.25,126,78619,3.301,150,0.002,524.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/11,451,2,0.286,7,0,0,18.936,0.294,0.25,118,78493,3.296,154,0.002,538.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/10,449,0,0,7,0,0,18.852,0.294,0.25,165,78375,3.291,154,0,0,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/9,449,0,0.143,7,0,0,18.852,0.294,0.26,188,78210,3.284,150,0.001,1049,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/8,449,0,0.286,7,0,0,18.852,0.294,0.27,141,78022,3.276,142,0.002,496.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/7,449,0,0.286,7,0,0,18.852,0.294,0.28,136,77881,3.27,142,0.002,496.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/6,449,0,0.286,7,0,0,18.852,0.294,0.29,177,77745,3.264,152,0.002,531.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/5,449,0,0.286,7,0,0,18.852,0.294,0.31,151,77568,3.257,153,0.002,535,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/4,449,0,0.286,7,0,0,18.852,0.294,0.33,119,77417,3.251,150,0.002,524.5,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/3,449,1,0.286,7,0,0,18.852,0.294,0.35,140,77298,3.246,155,0.002,542,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/2,448,1,0.143,7,0,0,18.81,0.294,0.34,129,77158,3.24,160,0.001,1118.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/7/1,447,0,0.143,7,0,0,18.768,0.294,0.32,141,77029,3.234,173,0.001,1209.8,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/6/30,447,0,0.143,7,0,0,18.768,0.294,0.3,210,76888,3.228,177,0.001,1237.8,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/6/29,447,0,0.143,7,0,0,18.768,0.294,0.29,184,76678,3.219,165,0.001,1153.8,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/6/28,447,0,0.143,7,0,0,18.768,0.294,0.28,127,76494,3.212,161,0.001,1125.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/6/27,447,0,0.143,7,0,0,18.768,0.294,0.27,154,76367,3.206,158,0.001,1104.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/6/26,447,0,0.143,7,0,0,18.768,0.294,0.27,176,76213,3.2,152,0.001,1062.9,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/6/25,447,1,0.143,7,0,0,18.768,0.294,0.27,217,76037,3.193,150,0.001,1049,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/6/24,446,0,0.143,7,0,0,18.726,0.294,0.27,173,75820,3.183,138,0.001,965,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/6/23,446,0,0.143,7,0,0,18.726,0.294,0.27,126,75647,3.176,134,0.001,937.1,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/6/22,446,0,0.143,7,0,0,18.726,0.294,0.27,156,75521,3.171,137,0.001,958,0,0,0,0,0,0,23.15,23816775,42.2,8.353,80.46
2020/6/21,446,0,0.429,7,0,0,18.726,0.294,0.28,104,75365,3.164,136,0.003,317,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/20,446,0,0.429,7,0,0,18.726,0.294,0.29,114,75261,3.16,137,0.003,319.3,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/19,446,0,0.429,7,0,0,18.726,0.294,0.3,159,75147,3.155,137,0.003,319.3,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/18,446,1,0.429,7,0,0,18.726,0.294,0.31,135,74988,3.149,135,0.003,314.7,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/17,445,0,0.286,7,0,0,18.684,0.294,0.29,146,74853,3.143,135,0.002,472,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/16,445,0,0.286,7,0,0,18.684,0.294,0.26,147,74707,3.137,136,0.002,475.5,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/15,445,2,0.286,7,0,0,18.684,0.294,0.24,145,74560,3.131,136,0.002,475.5,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/14,443,0,0,7,0,0,18.6,0.294,0.22,111,74415,3.124,134,0,0,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/13,443,0,0,7,0,0,18.6,0.294,0.2,118,74304,3.12,134,0,0,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/12,443,0,0,7,0,0,18.6,0.294,0.19,142,74186,3.115,137,0,0,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/11,443,0,0,7,0,0,18.6,0.294,0.17,135,74044,3.109,143,0,0,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/10,443,0,0,7,0,0,18.6,0.294,0.16,152,73909,3.103,148,0,0,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/9,443,0,0,7,0,0,18.6,0.294,0.15,152,73757,3.097,153,0,0,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/8,443,0,0,7,0,0,18.6,0.294,0.14,129,73605,3.09,156,0,0,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/7,443,0,0.143,7,0,0,18.6,0.294,0.13,108,73476,3.085,165,0.001,1153.8,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/6,443,0,0.143,7,0,0,18.6,0.294,0.12,138,73368,3.081,183,0.001,1279.7,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/5,443,0,0.143,7,0,0,18.6,0.294,0.12,184,73230,3.075,188,0.001,1314.7,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/4,443,0,0.286,7,0,0,18.6,0.294,0.11,170,73046,3.067,184,0.002,643.4,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
2020/6/3,443,0,0.286,7,0,0,18.6,0.294,0.11,188,72876,3.06,184,0.002,643.4,0,0,0,0,0,0,25.93,23816775,42.2,8.353,80.46
